node,count,D,imean,imax,icum
Total,291,14.5 ± 13.5,1.8 ± 0.4,2.1 ± 0.7,27 ± 28.5
A,28,11.6 ± 8.7,1.6 ± 0.4,1.8 ± 0.5,19.2 ± 17.4
B,22,15 ± 8.1,1.8 ± 0.4,2.1 ± 0.5,27.2 ± 17.7
C,32,11.4 ± 6.3,1.8 ± 0.4,2.2 ± 0.6,21.4 ± 13.8
D,26,8 ± 3.9,1.6 ± 0.5,1.9 ± 0.6,12.6 ± 6.7
E,14,14.6 ± 9.8,1.9 ± 0.3,2.2 ± 0.4,27.5 ± 19.8
F,33,24.4 ± 25.9,2 ± 0.4,2.5 ± 0.7,52.6 ± 58.2
G,34,16.2 ± 11.1,2 ± 0.4,2.5 ± 0.5,32.4 ± 23.5
H,25,15.6 ± 11,1.8 ± 0.3,2.1 ± 0.5,28 ± 21.3
I,18,9 ± 5.1,1.3 ± 0.4,1.6 ± 0.5,12.2 ± 8.3
J,26,22.2 ± 18.5,1.9 ± 0.4,2.6 ± 0.8,40.5 ± 29.6
K,24,10 ± 7,1.9 ± 0.3,2.3 ± 0.4,18.6 ± 11
L,9,6.9 ± 3.9,1 ± 0.3,1.2 ± 0.4,7.1 ± 4.3
